Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,73,8,P:Microsoft.Maui.Controls.DatePicker.TextColor,,,,,"static Animation GetGreenTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetGreen) => new(v => element.TextColor = element.TextColor.WithGreen(v), element.TextColor.Green, targetGreen);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,73,8,P:Microsoft.Maui.Controls.DatePicker.TextColor,,,,,"static Animation GetGreenTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetGreen) => new(v => element.TextColor = element.TextColor.WithGreen(v), element.TextColor.Green, targetGreen);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,73,8,T:Microsoft.Maui.Controls.Animation,,,,,"static Animation GetGreenTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetGreen) => new(v => element.TextColor = element.TextColor.WithGreen(v), element.TextColor.Green, targetGreen);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,73,8,"M:Microsoft.Maui.Controls.Animation.#ctor(System.Action{System.Double},System.Double,System.Double,Microsoft.Maui.Easing,System.Action)",,,,,"static Animation GetGreenTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetGreen) => new(v => element.TextColor = element.TextColor.WithGreen(v), element.TextColor.Green, targetGreen);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,72,8,P:Microsoft.Maui.Controls.DatePicker.TextColor,,,,,"static Animation GetRedTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetRed) => new(v => element.TextColor = element.TextColor.WithRed(v), element.TextColor.Red, targetRed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,72,8,P:Microsoft.Maui.Controls.DatePicker.TextColor,,,,,"static Animation GetRedTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetRed) => new(v => element.TextColor = element.TextColor.WithRed(v), element.TextColor.Red, targetRed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,72,8,P:Microsoft.Maui.Controls.DatePicker.TextColor,,,,,"static Animation GetRedTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetRed) => new(v => element.TextColor = element.TextColor.WithRed(v), element.TextColor.Red, targetRed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,72,8,T:Microsoft.Maui.Controls.Animation,,,,,"static Animation GetRedTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetRed) => new(v => element.TextColor = element.TextColor.WithRed(v), element.TextColor.Red, targetRed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,72,8,"M:Microsoft.Maui.Controls.Animation.#ctor(System.Action{System.Double},System.Double,System.Double,Microsoft.Maui.Easing,System.Action)",,,,,"static Animation GetRedTransformAnimation(Microsoft.Maui.Controls.DatePicker element, float targetRed) => new(v => element.TextColor = element.TextColor.WithRed(v), element.TextColor.Red, targetRed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RhythmVerseClient\RhythmVerseClient.csproj,File,RhythmVerseClient\obj\Debug\net8.0-windows10.0.19041.0\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\DatePickerTextColorTo.g.shared.cs,39,12,T:Microsoft.Maui.Controls.Animation,,,,,"new Animation              {                  {                      0,                      1,                      GetRedTransformAnimation(element, color.Red)                  },                  {                      0,                      1,                      GetGreenTransformAnimation(element, color.Green)                  },                  {                      0,                      1,                      GetBlueTransformAnimation(element, color.Blue)                  },                  {                      0,                      1,                      GetAlphaTransformAnimation(element, color.Alpha)                  },              }.Commit(element, nameof(TextColorTo), rate, length, easing, (d, b) => animationCompletionSource.SetResult(true));"
